ID,Field 05 - ICT role in Museums and Exhibition Design,Timestamp,General Institution / Organisation Information,Name of the Institution / Organisation,Country,City,Type of Institution (as many as apply),Field of Activity (as many as apply),Focus of Institution (as many as apply),Year,Links,Principal Partner,Interested Partner,Links - for partners only,Field 05 - Exhibition / Installation Information,Name,Topic,Year,Name / contact of curator / organiser,Links,Field 05 - Information and Communication Technologies,Description,Focus of technology,Location of Technology Use,Time of Technology Use,Type of Media Exhibited,Actions and Mechanics of Interaction,Target Group,Why is it of interest for MeLA's Research Field 05?,Impact - User perspective,Impact - Institution / Organisation perspective,Field 05 - Categorization - User Experience,Audience Involvment,Audience Engagement,Audience Perception,Exhibition Elements,Technology Metaphor,Field 05 - Categorization - Intended purpose of the ICT and Technology within the project or application,Identity Construction,Representation,Conception of Cultural Representations,Audience of Cultural Representations,Multinationalism,Contemporaneousness,Provocativeness,Stance
1337328059635.17,,Fri May 18 2012 10:00:59 GMT+0200 (CEST),,Open Plaques,United Kingdom,online,Archive,Co-curation platform,"National, History and Art Museums|Commemorative plaques throughout the world",2009,http://openplaques.org/,CIID,CIID,,,Open Plaques,People & Places,2009,Frankie Roberto,"http://openplaques.org/
http://www.flickr.com/groups/openplaques/
http://www.culturecode.co.uk/blog/2012/03/06/open-plaques
",,"Open Plaques is a community‐based service started in 2009 which documents, catalogues and promotes commemorative plaques (often blue and round) installed on buildings and other public landmarks in the UK and beyond. The project aims to bring the people‐powered history the plaques encapsulate to life - and to a larger audience - by making its website and database the definitive and most comprehensive resource about these historical markers. In turn, the data and resources produced by the project aim for wide distribution and re‐use, and are available for free to all under a Public Domain declaration. An iPhone app is planned so that users can find blue plaques in the vicinity. ","Infrastructure - (operations, archives) - ICT used for institutional, non-visitor facing applications such as databases and management systems",On Site - near objects and exhibits|Off Site - virtual visits|Off Site - not related to museum premises,During the vist - enhancing visitor experience,Text|Image,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups",Blue (and other) and other plaques are a visible (but perhaps not often very noticed) part of British heritage that are managed by a variety of organisations. This website brings data together in a way that not only catalogues their existence but promote them.," The project is still in its Alpha stage, but users are being encouraged to nominate plaques that haven\'t yet been recorded.","\'As the plaques by their very nature are public information, we’re keen for more organisations to share their plaque data so it can be included, forming a complete database and a unified map of the plaques’ locations.\' The service is keen to work with other organisations responsible for plaques to share data.",,Individual interactions are networked in aggregate,4,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something)|Collaborative (focused on making visitors build knowledge together),4,5,,This aspect of the analysis is not significant for the present case,2) Inter-Cultural Dialog - highlight the interconnections amongst cultures,Not applicable,"Both, with respect to different parts of the museum/exhibition/project",Emphasis towards active reproduction or renegotiation of the identity and memory of the culture/s represented (more global and fluid),Yes,No,3
1337328985872.22,,Fri May 18 2012 10:16:25 GMT+0200 (CEST),,The National Guard,United States of America,Arlington,A reserve military force,A subset of the Militia,"Help respond to domestic emergencies and disasters, such as hurricanes, floods, and earthquakes",Undefined,http://www.nationalguard.com/,CIID,CIID,,,Energy Lab,Innovative energy resources,Undefined,Undefined,"https://g1arng.army.pentagon.mil/Programs/EnergyLab/Pages/default.aspx
http://www.youtube.com/watch?v=xeO4Kqg7fbk
",,"The Energy Lab is a mobile learning resource which provides a hands-on learning experience for 11th and 12th grade students. The vehicle houses a 24-seat onboard theater and four interactive learning experiences, which use the elements of water, fire, earth and wind to help students learn about innovative energy resources and solutions.\'","Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",On Site - near objects and exhibits,During the vist - enhancing visitor experience,Text|Audio|Image|Video,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","Focus of technology: Learning
Target group: School pupils


The Energy Lab is a physical, but mobile, learning resource that can reach students across the US. There is also an associated online web portal for teachers and pupils.","Young people learn about maths and science but also about the importance of staying in the education system, through seeing the possible career options that exist for them.",The National Guard benefits by promoting careers in its organisation.,,Interaction with Contents,5,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something)|Collaborative (focused on making visitors build knowledge together),2,1,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Not Applicable,Not Applicable,4
1337329735087.16,,Fri May 18 2012 10:28:55 GMT+0200 (CEST),,American Museum of Natural History,United States of America,New York,Museum,Natural History,"National, History and Art Museums",2010,http://www.amnh.org/,CIID,CIID,,,Dinosaurs iPad App,Natural History,2010,Undefined,"http://www.amnh.org/apps/dino_ipad.php
http://www.youtube.com/watch?v=eRFPQlMHKso
http://www.artdaily.com/index.asp?int_sec=11&int_new=43596&int_modo=1",,"Users can access the world\'s largest collection of dinosaur fossils through hundreds of photos and renderings. Nearly 1000 images are stitched together to create a striking image of a T-Rex. Users zoom into the mosaic to inspect images and read more information about the fossils and who found them. Visitors at the Museum can use the app to learn more about the fossils in front of them, while those at home have access to the Museum\'s images of collections.","Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",On Site - near objects and exhibits|Off Site - virtual visits,Before the Visit - preparation prior to the visit|During the vist - enhancing visitor experience|After the Visit - to support or deepen understandings following the visit,Text|Image,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups",DINOSAURS was the first official iPad app from the AMNH. ,The creators hope that the app will spark interest in young people and inspire them to consider a career in natural history. ,"The AMNH currently has 4 iPad apps, but with 45 permanent exhibition halls and more than 30 million specimens and artifacts they are hoping to create more.",,Interaction with Contents,3,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something),4,2,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Not Applicable,Not Applicable,4
1337330859599.19,,Fri May 18 2012 10:47:39 GMT+0200 (CEST),,Norsk Telemuseum,Norway,Oslo,Museum,Social History|Tele Communication,"National, History and Art Museums|Tele Communication",2009,http://www.telemuseum.no/joomla/,CIID,CIID,,,A Museum Mobile Game for Children using QR Codes,Tele Communication,2009,Undefined,"http://www.fotocomp.it/officina/IDC2009/media/demos.pdf/P282-Medaglia.pdf
http://dl.acm.org/citation.cfm?id=1551790
",,A demo of a mobile museum \'treasure hunt\' using QR codes that was tested by researchers from Sapienza University of Rome at the Norsk Museum in Oslo. Students aged 11-14 searched for \'materializations\' of the solutions to a series of riddles and photographed them with camera phones. The letters to a secret word are provided when correct answers are given. QR codes are used to identify that the correct answers have been found. ,"Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",On Site - near objects and exhibits,After the Visit - to support or deepen understandings following the visit,Text|Audio|Image,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","Focus of technology: Learning
Target group: Young people

The reseachers state that students are intrigued by using objects and equipment they are familiar with, but in unfamiliar ways, and this piece of research investigates the impact of this on \'edutainment\' - educational entertainment.","Users can make comments which are immediately shown as \'tag clouds\' - making the young people feel involved, and allowing teachers to see the impact. Groups can also create their own codes and secret messages, enforcing a feeling of group membership.",The demo was part of the ongoing development of this game by the researchers.,,Interaction with Contents,5,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something),2,2,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,,This aspect of the analysis is not significant for the present case,Yes,No,2
1337331285467.5,,Fri May 18 2012 10:54:45 GMT+0200 (CEST),,Waag Society,Netherlands,Amsterdam,No Profit Society,Art|Science and Technology,"National, History and Art Museums|Contemporary Art|Science and Technology",2005,http://waag.org/nl,POLIMI,POLIMI,Email: ronald@waag.org,,Frequency1550,City contexts,2005,Undefined,"http://freq1550.waag.org/
http://waag.org/en/node/125",,"Frequency 1550 is a history citygame using mobile phones and GPS-technology for students in the age of 12-14. It is a research pilot examining whether it\'s possible to provide a technology supported educational location-based experience. In the Frequency 1550 mobile game, students are transported to the medieval Amsterdam of 1550 via a medium that\'s familiar to this agegroup: the mobile phone. The pilot took place in 2005 from 7 to 9 February and was supported by KPN Mobile\'s UMTS network.","Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",On Site - near objects and exhibits|On Site - in dedicated areas|Off Site - virtual visits|Off Site - not related to museum premises,During the vist - enhancing visitor experience,Text|Audio|Image|Video,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","Frequency 1550 is one of the first mobile games dealing with history and played in the city, introducing a novel way of learning. Mobile gaming is a meansto foster collaborative learning among young pupils, stimulating interest and participation. ","In the beginning of 2005 Frequency 1550 was played for the first time. The reactions were overwhelmingly positive, as well within Waag Society as with the participating schools. (http://www.waag.org/project/freq1550)",A research was done to measure the effects of gaming on learning by the University Utrecht and the University of Amsterdam. From this research one of the results was that pupils that played the mobile game scored significantly higher on a knowledge test then pupils who had the same material in a traditional lesson. (http://www.waag.org/project/freq1550) ,,Individuals engage with each other socially,5,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something),3,3,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,Emphasis towards active reproduction or renegotiation of the identity and memory of the culture/s represented (more global and fluid),Yes,No,4
1337341050125.19,,Fri May 18 2012 13:37:30 GMT+0200 (CEST),,Newcastle University and Laing Art Gallery,United Kingdom,Newcastle upon Tyne,Museum,Art,"National, History and Art Museums",2010,"http://www.ncl.ac.uk/
http://www.twmuseums.org.uk/laing/",CIID,CIID,,,Northern Spirit: 300 Years of Art on Tyneside,and Place,2010,Undefined,"http://artontyneside.wordpress.com/
http://www.ncl.ac.uk/sacs/research/publication/162032
http://www.enews-twmuseums.info/microsite/flyer.php?nid=254",,"This is a major permanent display involving a display of paintings and decorative arts accompanied by a number of photographic, audio and ICT AV units designed by researchers at Newcastle University. Each of the three galleries in the display contains two touchscreen interfaces allowing visitors to watch films, digital stories and other media outputs produced by community members in the context of a participative project developed and managed by the university. The touhcscreen interfaces also provided a structure into which curators were able to add extra object-specific interpretation. There is also a large touchscreen interactive map of the north-east region which plots the visual imagery of the region, including paintings from the Laing collection, archive photographs and photographs submitted by the public through a Flickr competition. ","Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",On Site - in dedicated areas,During the vist - enhancing visitor experience,Text|Audio|Image|Video,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","The interfaces represent an attempt to bring different kinds of knowledge to bear upon each other: on the one hand the consecrated knowledges of the gallery (art history, aesthetic appreciation) and on the other the place-based knowledge of residents of the north east. From this, two different ways of \'knowing\' the region emerge and the links between art, place and identity are brought out. Another important element of this is that the participative content allows the representation of the region which is embodied in the gallery collections (e.g. in landscape paintings) to be challenged in an interrogation of the political epistemology of the gallery (e.g. in a civic collection what kinds of topographical representations are collected? Of what areas? What areas are excluded or \'off the map\'? Etc.)",The display is intended to make people reflect on the above issues. In a follow-on project the display is being evaluated in relation to user experience.,"Participatory community involvement; working with university partner, incorporation of new interpretive strands, ability to embed durther object-specific interpretation into the interfaces.",,Interaction with Contents,2,Reflective (focused on engaging visitors cognitively),2,5,,"Both, with respect to different parts of the museum/exhibition/project",8) None of the above,,People from the same cultures as those represented,Emphasis towards active reproduction or renegotiation of the identity and memory of the culture/s represented (more global and fluid),Yes,Yes,2
1337341847083.77,,Fri May 18 2012 13:50:47 GMT+0200 (CEST),,Bibliotheek Haarlem Oost,Netherlands,Haarlem ,Library,Literature,Literature,2006,http://www.bibliotheekhaarlem.nl/,POLIMI,POLIMI,,,Bibliotheek Haarlem Oost Tagging System,Literature,2006,Jan David Hanrath,"http://remotedevice.net/blog/designing-interactions-in-the-flow-tagging-books-at-bibliotheek-haarlem-oost/
http://www.janklerk.net/2010/01/about-failed-taste-tagging-project-in.html
http://museumtwo.blogspot.com/2009_12_01_archive.html",,"Automatic system to tag the books in the library. The architect created several drop boxes with pre-assigned tags: placing the book in the corresponding box (funny, boring, suitable for children ...) library’s costumers automatically assign a tag to the book, updated in real time on library’s website and visible to other customers.","Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",On Site - in dedicated areas,During the vist - enhancing visitor experience,Text,People simply put books in different shelves according to tags,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups",The project proposes a smart use of digital technologies: it’s a win-win activity which brings benefits for library and for customers. The unaware action of tagging is a participatory action that takes into account the views of all readers. ,"The project intends to involve readers in a collaborative way, allowing them to contribute with tags and opinions.","The library wanted to find a way to invite readers to assign tags to the books they read. By describing books with phrases like “great for kids,” “boring,” or “funny,” readers could contribute knowledge to the institutional catalogue system while also providing recommendations and opinions for future readers. The participatory act of tagging thus would add benefit to institution and audience alike. (Simon, The Partecipatory Museum, p. 6) ",,Interaction with Contents,4,Reflective (focused on engaging visitors cognitively)|Collaborative (focused on making visitors build knowledge together),1,1,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Not Applicable,Not Applicable,3
1337343230353.32,,Fri May 18 2012 14:13:50 GMT+0200 (CEST),,The North East Regional Museums Hub,United Kingdom,Newcastle upon Tyne,Association,Museums in the region,"A major regional museum, art gallery and archives service",2007,http://www.twmuseums.org.uk/hub/,POLIMI,POLIMI,,,I like museums,Inspiration for museum visits,2007,Undefined,"http://ilikemuseums.com/Page/index.aspx
http://ilikemuseums.com/assets/pdfs/i_like_to_be_inspired.pdf
http://www.sumodesign.co.uk/work/campaign/i-like-museums.html",,"I Like Museums is web portal that collects eighty-two museums in North East England organized in several “museum trails” mostly based on visitors’ interest and not on institutional contents. Common museum trails are: I like … pictures, free stuff, art, ships, military history, heritage or keeping the kids happy. They propose a different way to organize tours following keywords and visitors’ interests and visitors themselves can upload personal trails.","Communication - (website) - the project or application functions to convey, present or promote the activities of the project or institution",Off Site - virtual visits,Before the Visit - preparation prior to the visit,Text|Audio|Image|Video,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups",The project proposes a simple way to organize contents following visitors’ interests an allowing them to participate in creating personal trails. The innovation is that trails are created not from museums’ collections but from accessible entry points that group together different institutions in different ways.,"In a survey of 2,071 visitors to nine institutions involved in I Like Museums, 36% of visitors who were aware of the campaign cited it as influencing their decision to visit. (Simon, The Partecipatory Museum, p. 36)",The organization perspective is to create a marketing campaign for the eighty-two museums in North East England taking into account visitors’ interests and creating trails able to link together different small museums.,,Interaction with Contents,4,Reflective (focused on engaging visitors cognitively)|Collaborative (focused on making visitors build knowledge together),4,5,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Not Applicable,No,3
1337344677956.79,,Fri May 18 2012 14:37:57 GMT+0200 (CEST),,Stedelijk Musem,Netherlands,Amsterdam,Museum,Art,"National, History and Art Museums|Contemporary Art",2010,http://www.stedelijk.nl/en,POLIMI,POLIMI,,,ARtours,Modern and Contemporary Art,2010,Margriet Schavemaker,"http://www.stedelijk.nl/en/now-at-the-stedelijk/spotlight/artours
http://www.artours.nl/",,"ARtours is an augmented reality project initiated by the Stedelijk Museum Amsterdam in collaboration with design bureau Fabrique. The project explores the possibilities of new media technology and innovates the ways in which the museum’s collection of modern and contemporary art & design (90.000 objects) can be presented and the stories and interpretations that surround these objects can be shared. The projects is carried out with small subprojects: Meet Me at the Museum Square, ARtotheque, Stedelijk AR(t): Jan Rothuizen, just to cite the first three.",Featured - (exhibited) - novel or a novel application of technologies are in-themselves the primary feature of the project or exhibition,On Site - in dedicated areas|Off Site - virtual visits,During the vist - enhancing visitor experience|After the Visit - to support or deepen understandings following the visit,Augmented Reality,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","The project tests the potentialities of Augmented Reality to show modern and contemporary art. It’s interesting the use of technology that is exploited to create new ways of exhibiting, interpreting and creating art.", Users can experience art in a different way through their personal mobile device. ,The ARTour project is intended as a testing on the use of augmented reality in museum field and its results can suggest new ways of visiting art museums.,,Interaction with Contents,5,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something),4,1,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Not Applicable,Yes,2
1337345562204.24,,Fri May 18 2012 14:52:42 GMT+0200 (CEST),,Simon Fraser University,Canada,Surrey,Museum,Museums,Museum experiences,2010,http://www.sfu.ca/,POLIMI,POLIMI,http://www.sfu.ca/,,Kurio Project,play and learning for family groups in museums,2010,Ron Wakkary ,"http://kurio.iat.sfu.ca/
http://www.youtube.com/watch?v=2rifr_UTnr8
http://www.sfu.ca/~rwakkary/",,"Kurio is a museum guide system designed to enhance interaction among family members and small groups visiting the museum. The Kurio system allows visitors to choose from a range of interactive scenarios – in one scenario a family imagines themselves as time travellers whose time map is broken and so they are lost in the present time. In order to repair the time map, family members complete missions comprised of a series of challenges to collect information from the museum helping to reconstruct the map. The interactive museum guide itself is comprised of four tangible devices, a tabletop display, and a personal digital assistant (PDA) all networked wirelessly to a central reasoning engine that guides the family through the museum visit.","Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",On Site - near objects and exhibits|On Site - in dedicated areas,During the vist - enhancing visitor experience,Text|Audio|Image|Video,"The experience is based upon the use of a table PC in the museum hall that gives directions and tasks to players, of a palm (usually employed by an adult visitor) and different TUIs with RFiD tags for children.","Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","The project is interesting for two main reasons. The first is the use of technology to stimulate interaction among family members during museum visit with a game approach and the second is the hybrid approach to technology, mixing table pc with PDA and TUIs - tangible user interfaces.","The project, according to its developers, was successful in stimulating dialogue and collaboration among family members and in enhancing children learning. (Wakkary, et al., 2009)","The project aims at testing three design strategies for improving the quality of social interaction and learning with interactive museum guides: 1) embodied interaction; 2) game-learning; 3) hybrid system. The results of the evaluation show positive implications of implementing the design strategies: closing the social gap, naturalizing technology, and supporting exploration and discovery in learning. (Wakkary, et al., 2009)",,Individuals engage with each other socially,5,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something)|Collaborative (focused on making visitors build knowledge together),3,3,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Not Applicable,Not Applicable,3
1337346168687.72,,Fri May 18 2012 15:02:48 GMT+0200 (CEST),,Massachusetts Institute of Technology,United States of America,"Cambridge, MA",University,Research and education,Science and Technology,2003,"http://web.mit.edu/
http://www.mos.org/",POLIMI,POLIMI,,,Mystery at the museum,Science & learning,2003,Eric Klopfer,"http://education.mit.edu/papers/handheldpapers/Mystery%20at%20the%20Museum-%20CSCL.pdf
http://education.mit.edu/ar/matm.html
http://en.wikipedia.org/wiki/MIT_Mystery_Hunt",,"M@M is a mobile collaborative and interactive mystery game designed for Boston Museum of Science which supports synchronous play of groups of parents and children over a two to three hour period. The fictitious premise of M@M was that a band of thieves had left their calling card in an exhibit case indicating that they had stolen a priceless object from the museum and replaced it with a replica. The players have been brought in as a team of experts to try to solve the crime, apprehend the criminals, and identify and retrieve the stolen artefact. Each player took on one of three possible roles – a technologist, a biologist and a detective – each with special capabilities. ","Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",On Site - near objects and exhibits,During the vist - enhancing visitor experience,Text|Audio|Image|Video,"Every children involved in the treasure hunt game holds a palm that provide them with information and tasks according to their different role (technologist, biologist and detective): children can read information, interact with virtual characters and collect clues. ","Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups",M@M is one of the first projects to employ mobile role-play gaming as a means to visit museums and cultural institutions.,"The feedback from the participants suggested that the combination of depth and breadth was engaging and effective in encouraging them to think about the museum’s exhibits. The roles that were an integral part of the game turned out to be extremely effective in engaging pairs of participants with one another. Feedback from parents was quite positive in terms of how they felt it engaged them and their children. (Klopfer, Perry, Squire, Jan, & Steinkuehler, 2005)","The primary design goals is to engage visitors more deeply in the museum and more broadly across museum exhibits, and encourage collaboration between visitors. ",,Individuals engage with each other socially,5,Performative (focused on making visitors acting something)|Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something)|Collaborative (focused on making visitors build knowledge together),2,3,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Not Applicable,Not Applicable,3
1337346626713.51,,Fri May 18 2012 15:10:26 GMT+0200 (CEST),,Trinity College,Ireland,Dublin,University,Social History,Local,2008,http://www.tcd.ie/,POLIMI,POLIMI,,,The media portrait of the Liberties,Community/Neighbourhood contexts,2008,Valentina Nisi ,"http://mf.media.mit.edu/pubs/conference/PortraitLiberties.pdf
http://mf.media.mit.edu/pubs/conference/MediatedLib.pdf
http://www.valentinanisi.com/liberties.html",,"The Media Portrait of the Liberties is an interactive neighborhood portrait comprised of \\\'context-aware\\\' stories capturing the life, lore and color of the Liberties community in Dublin, Ireland, both past and present. It makes use of different visual styles to relive the stories. The stories, in form of downloadable video clips, are available to the audience on PDAs at the geographical locations where the stories happened, and contribute to a community-related story map of the area.","Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",On Site - near objects and exhibits|Off Site - not related to museum premises,During the vist - enhancing visitor experience,Text|Audio|Image|Video,Users consume short video clips and audio contributions while walking in the Liberties district. ,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","MPL is one of the first projects that exploit locative media to valorise immaterial heritage such as the neighbourhood stories, re-enacting them in the real place where they happened. The projects has also important social implications stimulating story sharing and the recollection of memories by local residents. ","“Most people agreed that the MPL experience added atmosphere and warmth to the neighbourhood and the fact that the stories were experienced in the place were they once occurred, did help achieve a sense of immersion in the stories in general. Most audience members felt totally engrossed in the experience, forgetting the time factor and that they were being followed as part of the user study procedure. On one hand they were able to discover new stories and anecdotes about the history of their neighbourhood, a process they found extremely rewarding. On the other hand they were also prompted and stimulated to recollect and tell their own stories about the area. Furthermore, in several occasions, conversations and storytelling were prompted among audience members and locals. From these preliminary responses we can see the project successfully functioning as a catalyst for community awareness and the recollection of individual memories that could comprise a rich social history.” (Nisi, Haah, & Davenport) ",The goal of the interactive media portrait is to offer the contemporary community a view into the stories and history of their neighbourhood and to provide an evolving repository for anecdotes community members wish to add.,,Interaction with Contents,4,Reflective (focused on engaging visitors cognitively),2,3,,"A plural representation, mindful to multiple (and dissenting) voices of individuals",2) Inter-Cultural Dialog - highlight the interconnections amongst cultures,People from the same cultures as those represented,People from the same cultures as those represented,Emphasis towards active reproduction or renegotiation of the identity and memory of the culture/s represented (more global and fluid),Yes,No,3
1337363765817.49,,Fri May 18 2012 19:56:05 GMT+0200 (CEST),,The Green Eyl,Germany,Berlin,Multidisciplinary design practice,Exploring the aesthetic potential of technology,Science and Technology,2009,"http://www.thegreeneyl.com/work
",POLIMI,POLIMI,,,Whispering table,Food and religion,2009,TheGreenEyl,"http://www.jmberlin.de/koscher/en/
http://thegreeneyl.com/whispering-table
http://www.youtube.com/watch?v=fUFHgnsTsrQ
http://imps-europrix2010.blogspot.it/2010/11/interview-with-whispering-table.html",,"TheGreenEyl was commissioned by Stiﬅung Jüdisches Museum Berlin to create a piece for an exhibition on food and religion. Four unique festivities celebrated by people of distinct cultures are assembled in an archetypical scene of congregation. Visitors approaching a round table ﬁlled with empty dishes discover that these are actually telling personal stories about the symbolic meaning of food and rituals. Written by a story writer, these stories are are based on interviews and research carried out for this piece. The content changes according to the dishes‘ positions and their distance to the others. Similarities and peculiarities of diﬀerent food ceremonies explored in a playful and entertaining way. By changing table constellations, the visitors reveal more and more stories and become part of a participatory spectacle. ",Featured - (exhibited) - novel or a novel application of technologies are in-themselves the primary feature of the project or exhibition,On Site - near objects and exhibits,During the vist - enhancing visitor experience,Audio,"The possible mechanics of interaction consist in:
- grasping the dishes;
- moving the dishes;
- raising the dishes to users’ ears.
Typically users move near the table, grasp and move the dishes and listen to the stories, possibly talking among them and commenting on what listened. In facts it is possible (and wished by the design team) that multiple users interact simultaneously with the exhibit.",,"With a variety of sensors and microelectronics, each module oﬀers the ability to calculate, behave and narrate according to our wishes. The Signiﬁcant capability however is the human being, carrying the device.
The final aim of the digital supported experience is to create an involving experience for users which makes them participants of a sort of collective ritual. In this context digital technology plays a key role when it allows to:
1) orally quote stories of people interviewed about rituals, making their accounts more vivid;
2) make the four rituals interact, thus creating a new ritual in which particular words and stories are linked to certain movements of the dishes.
Other interesting features are:
- the kind of qualitative research done to represent cultures and rituals;
- the creative use of the outcomes of the qualitative research in the installation;
- the idea that contents change depending on the mechanics of interaction of users.",For participants the impact of their interaction with the exhibit regards both the acquisition of knowledge and the participation in a ritual-like experience. ,For the Jüdisches Museum of Berlin the outcome of this kind of involvement of visitors consists in providing them edutainment experiences.,,Interaction with Contents,5,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something),2,2,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Yes,Not Applicable,3
1337364400892.53,,Fri May 18 2012 20:06:40 GMT+0200 (CEST),,Amsterdam Museum,Netherlands,Amsterdam,Museum,Art|Social History,"National, History and Art Museums|Local",2008,http://www.amsterdammuseum.nl/en,POLIMI,POLIMI,,,Geheugen van Oost / Memory of East,Community/Neighbourhood contexts,2008,Mediamatic,"http://www.geheugenvanoost.nl/
http://virtueelplatform.nl/best-practice/geheugen-van-oost",,The project is focused on the collection of micro-stories of urban neighborhoods of East Amsterdam with the goal of promoting the integration between old and new inhabitants and the rooting of the latter in the places where they live. The stories are collected on a website. The goal is to build a collective memory that will grow over time thanks to the participation of residents and will propose an alternative to the academic history.,"Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",Off Site - virtual visits,Independent from the Visit - no relation to the visit ,Text|Audio|Image,The project is based upon a simple website that allows users to upload personal stories and comment stories written by others.,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","The web portal and the use of storytelling are employed as a means of social inclusion, fostering the integration between old and new inhabitants. ","Users can share their personal stories related to the places where they live, and read and comment the stories of their neighbours.","The Amsterdam Museum has the goal of creating a collective history of the East part of the city, collecting personal stories of the old and new inhabitants, fostering the integration between them.",,Individual interactions are networked in aggregate,5,Collaborative (focused on making visitors build knowledge together),5,1,,"A plural representation, mindful to multiple (and dissenting) voices of individuals",4) A mix of 1) and 2),People from the same cultures as those represented,"Both, with respect to different parts of the museum/exhibition/project","Both, with respect to different parts of the museum/exhibition/project",Yes,Yes,3
