ID,FIELD 04 - Exhibition Archives,Timestamp,General Institution / Organisation Information,Name of the Institution / Organisation,Country,City,Type,Field of Activity,Year the Exhibition was prepared,Year the Exhibition was held,Links,Principal Partner,Interested Partner,Links - for partners only,"FIELD 04 - Description of the exhibition archive of your institution
",Does your institution preserve documentation related to past exhibitions?,Documentation period,Reason for no documentation,Type of preserved documents,"What is the department or area, in your institution, in charge of gathering and preserving this archive?","Please, indicate the name and e-mail address of the person in charge of your exhibition archive:",What is the name by which you refer to this group of documents?," Please, describe in a few lines the contents, aims and status of your exhibition archive: ","How many people from your staff work in the preservation of your exhibition archive? Please, if this is not a full time task, indicate the percentage of hours that the persons in charge devote to this archive, in relation to their full time dedication",What period of time does your exhibition archive encompass?,What are the main parameters that define the structure you are giving to your exhibition archive:,"Have you developed a classification chart that describes the structure of your exhibition archive? If so, is it available for our consultation?","Have you developed any of these, in relation to your exhibition archive?","If so, are they available for our consultation?",What norm or standard set of rules do you use for the description of your exhibition archive? I.e. RAD – Rules for Archival Description,"Please, indicate the approximate number of linear meters of shelves that your exhibition archive comprises:","Please, indicate what database you use for the description of records belonging to your exhibition archive, i.e. FileMaker Pro.","Please, indicate the current number of records in this database","Always in relation to the exhibition archive of your institution, please indicate the approximate number of records, and / or the approximate percentage in relation to the total number of records, that are available online:","As well as the approximate number of records, and / or the approximate percentage in relation to the total number of records, that have been digitized:","Please, indicate by order of importance which of these processes you would like to develop first, if you would have enough resources: ","And finally, please leave any comment you may deem relevant in relation to your exhibition archive, which may help us understand better the scope and status of your exhibition archive, as well as wishes, aims etc. that are outside of the frame of our questions below. "
1337151200880.59,,Wed May 16 2012 08:53:20 GMT+0200,,Muzeum Sztuki w Łodzi,Poland,Łódź,Museum,Art,1930,1930,http://www.msl.org.pl/,MACBA,MACBA,,,YES,1954,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.",Documentation Department,biblioteka@msl.org.pl,Documentation,"The exhibitions archive contains most of the materials and documents produced by museum in exhibition organisation process; photographic documentation of exhibitions, dissemination materials and publications. It is held in separate collections of different sorts of materials in chronological order. It is made available in the museum’s library to all who are interested in.",2 persons 80% time,1954 to present,Format and conservation (texts / analogical photographs / plans / digital photographs / …),no,Finding aid|Inventory|Index,yes,own,64 m,non,non,non,20%,Dissemination online of contents of the exhibition archive|Archival description of records reaching the smallest units,
1337156007845.25,,Wed May 16 2012 10:13:27 GMT+0200 (Jerusalem Standard Time),,Palestinian Art Court- al Hoash  ,Palestinian Territory,jerusalem,Cultural Institution,Art,2004,,,MACBA,MACBA,,,YES,2004,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Administration,,Institutional archive,,,2004 to present ,Format and conservation (texts / analogical photographs / plans / digital photographs / …),,Finding aid|Index,,basic,,,,,,,
1337176167456.57,,Wed May 16 2012 08:49:27 GMT-0500 (Central Daylight Time),,Saint Louis Art Museum,United States of America,St. Louis,Museum,Art,1909,1909,,MACBA,MACBA,,,YES,1909,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,,Museum archive,,,1909 to present,"Source or producer (dept, etc.)",,Finding aid|Inventory|http://www.slam.org/Exhibitions/archive.php,,,,,,,,"Dissemination online of contents of the exhibition archive|Digitization of analogical records, and improvement of preservation policies (refreshing)",
1337182125889.87,,Wed May 16 11:28:45 EDT 2012,,Virginia Museum of Fine Arts,United States of America,Richmond,Museum,Art,1936,,,N/A,N/A,,,YES,1936,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,,Exhibition records,,,1936-present,"Source or producer (dept, etc.)",,Finding aid|Inventory|On line catalogue or database|Index,,,500,,,,0,Dissemination online of contents of the exhibition archive,
1337259861737,,Thu May 17 2012 09:04:21 GMT-0400 (Eastern Daylight Time),,Smithsonian Institution Archives,United States of America,Washington,Archive|Cultural Institution|Museum,Art|History|Ethnography|Science,1846,,,MACBA,MACBA,,,YES,1846,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show",Archive,,Institutional archive,,,1846-present,"Source or producer (dept, etc.)",,Finding aid|On line catalogue or database,,EAD,"36,000 cubic feet",MS Access,5500,95%,5%,Dissemination online of contents of the exhibition archive,
1337330407905.76,,Fri May 18 2012 10:40:07 GMT+0200 (CEST),,Fondazione Plart - Plastiche e arte,Italy,Naples,Museum,Contemporary Art and Design objects in Sinthetyc and Presinthetyc materials,2008,,,MACBA,MACBA,,,YES,2008,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.","Administration, Conservation, Communication, Education",,Museum archive and Exhibition records,,,from 2008 to the present,Format and conservation (texts / analogical photographs / plans / digital photographs / …),,"We keep folders and files for every different area, but we still haven\'t created an index",,"Every person of the staff ha its personal set of rules, but we are planning to make a general archive that can be consulted by everyone",45,Finder (Mac),more than 10.000,10%,90%,"Dissemination online of contents of the exhibition archive|Archival description of records reaching the smallest units|Digitization of analogical records, and improvement of preservation policies (refreshing)|Inclusion in the exhibition archive of internal documents related to the process of production",
1337590256010.34,,Mon May 21 10:50:56 UTC+0200 2012,,The David Collection,Denmark,Copenhagen,Museum,Art,1945,1948,,MACBA,MACBA,,,YES,1982,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Insurance files related to each exhibition|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Administration,,Institutional archive,,,1982 to present,Format and conservation (texts / analogical photographs / plans / digital photographs / …),,,,Our own rules,"0,5",SQL,800,100 (for museum staff),0,"Digitization of analogical records, and improvement of preservation policies (refreshing)",
1337670103373.59,,Tue May 22 2012 09:01:43 GMT+0200 (Hora de verano romance),,Museo Nacional de Antropología,Spain,Madrid,Museum,Ethnography,1875,1875,,MACBA,MACBA,,,YES,1952,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,,Museum archive,,,From 1952 to the present,"Source or producer (dept, etc.)",,,,ISAD-G,,DOMUS,,,,"Archival description of records reaching the smallest units|Digitization of analogical records, and improvement of preservation policies (refreshing)",
1337689339654.74,,Tue May 22 2012 08:22:19 GMT-0400 (Eastern Daylight Time),,Brooklyn Museum,United States of America,"Brooklyn, NY",Museum,Art,1897,,,MACBA,MACBA,,,YES,1840,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,,Museum archive,,,1840 to present,"Source or producer (dept, etc.)",,Finding aid|On line catalogue or database,,,,MS Access,,,,,
1337716933370.47,,Tue May 22 2012 16:02:13 GMT-0400 (Eastern Daylight Time),,"Center for Curatorial Studies, Bard College",United States of America,Annandale-on-Hudson,Archive|Cultural Institution|Exhibition|Museum,Art,1992,,http://www.bard.edu/ccs/,MACBA,MACBA,,,YES,1992,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,"Ann Butler, Director of Library & Archives - CCS Bard / maintains the institution\'s exhibition archives.

Marcia Acita, Assistant Director of Hessel Museum - CCS Bard / maintains registrar documentation of exhibitions including:  condition reports, insurance files, contracts, loan forms, invoices, etc.",Institutional archive,To fully and comprehensively document all forms of exhibition programming and curatorial activities at the Center for Curatorial Studies and Hessel Museum of Art.,2 full-time permanent staff each devoting .25 of their time.,1992 to the present,Arranged chronologically by exhibition/ project,"We have a schematic internal spreadsheet documenting which types of materials we have for each exhibition project.  I would like to develop the spreadsheet into a more robust, standards-based EAD encoded finding aid which we would make available online with possible restrictions on some types of documents.",Inventory,Spreadsheet inventory - yes.,,36 meters,Excel,325,0.25,,Dissemination online of contents of the exhibition archive,"Goals are capturing more documentation of the production of an exhibition; greater depth of description and use of descriptive standards; and more transparency in terms of online dissemination of exhibition archive holdings.

"
1337785936268.23,,Wed May 23 10:12:16 EST 2012,,Museo Botero,Colombia,Bogotá,Museum,Art,2000,,www.banrepcultural.org/museo-botero,N/A,N/A,,,YES,2000,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",,"Sigrid Castañeda
scastaga@banrep.gov.co",Museum records,"Record of the process of acquisition of the works, design and montage of the museum. Records of the public announcement of the Museum and the reception by the press, and the diferent print and educational materials. The main aim is to hold the archive for administrative purposes and for the memory of the different processes.  ","One person, 20% of the time. (The same institution handles different Museums and Collections)",2000 / present,"Source or producer (dept, etc.)",No,Other:,,,,,,,,Archival description of records reaching the smallest units,
1337787620213.72,,Wed May 23 2012 11:40:20 GMT-0400 (Eastern Daylight Time),,The Museum of Modern Art,United States of America,New York,Museum,Art,1929,1929,,N/A,N/A,,,YES,1929-present,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|itineraries (for travelling exhibitions)",Archive,General contact: archives@moma.org,Museum archive,,,1929-present,"Source or producer (dept, etc.)",,Finding aid,Yes.  The finding aids are available on our Web site: http://www.moma.org/learn/resources/archives/archives_holdings,"DACS, EAD, and local standards","The Registrar and Curatorial Exhibition Files comprise 150 linear meters.  The Museum Archives\' overall holdings comprise 1,555 meters.",,,,,Dissemination online of contents of the exhibition archive,
1337881187938.46,,Thu May 24 2012 14:39:47 GMT-0300 (Hora est. de Sudamérica E.),,Museo de Arte Moderno de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,Museum,Art,1956,,http://museos.buenosaires.gob.ar/mam.htm,MACBA,MACBA,,,YES,1956,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Photographs of installation process|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Library,"Alejandro Atias
Mónica Lerner
María Inés Afonso Esteves
bibliotecamamba@gmail.com",Carpeta de Actividades y fotografías Históricas,"La Biblioteca y Centro de Documentación del Museo de Arte Moderno posee un importante acervo documental que incluye documentos en diferentes soportes, relacionados con las múltiples actividades realizadas en el museo desde 1956 hasta la actualidad. 
El objetivo principal del archivo documental es reunir, conservar, ordenar, mantener y  poner a consulta la mayor cantidad de documentación vinculada la historia del Museo de Arte Moderno.
Existe un proyecto para implementar un plan de tratamiento archivístico para clasificar y describir los fondos y otro de conservación que abarque aspectos relacionados tanto con la guarda y almacenaje de los documentos como con la manipulación de los mismos.
","Una
20%",Desde 1956 a 2012,Año de realización de la actividad,no,Index,no,,5 m.,Access (Fotografías Históricas),340 (en proceso),,,Archival description of records reaching the smallest units,
1337937600982.95,,Fri May 25 11:20:00 UTC+0200 2012,,KORO - Public Art Norway,Norway,Oslo,Cultural Institution,Art,1976,,www.koro.no,MACBA,MACBA,,,YES,1976/77,,"Photographs of the exhibition as installed|Photographs of installation process|Final list of works or items exhibited in each show|Condition reports of works or items exhibited, issued by Restauration experts|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Administration,Astri S. Grønlie asg@koro.no,DigitaltMuseum,"DigitaltMuseum consists of information by photo and text about all our projects of art in public building all over the country. 

By now we have more than 900 projects consisting of about 7000 artworks in this digital archive. Se this link for more information: www.digitaltmuseum.no/info/owners/KORO.", 1 1/2 person work with this archive in KORO.,1976 - 2012,Format and conservation (texts / analogical photographs / plans / digital photographs / …),We use DigitaltMuseums predesigned structures.,,,,,,about 7000 artworks,all of them,,Dissemination online of contents of the exhibition archive,
1337941886286.76,,Fri May 25 12:31:26 UTC+0200 2012,,Moderna galerija+MSUM (Muzej sodobne umetnosti Metelkova) /Museum of Modern Art plus Museum of Contemporary Art Metelkova,Slovenia,Ljubljana,Museum,Art,1948,,,MACBA,MACBA,,,YES,from the 1920ies on; syistematic work since 1971,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,"Jana Intihar Ferjan, jana.ferjan@mg-lj.si
Sabina Povšič, sabina@mg-lj.si",Central archive,"Our exhibition archive is only a part of our central archive which covers the exhibitions in whole Slovenia and of slovenian artists abroad. It consists of data on exhibition venues, artists, curators, other events, public works, bibliography (evaluated records in books, catalogues and media).","3 in the department \'Dokumentacija-arhiv\'
1 in the department \'Fotoarhiv\'
we had a part-time employee in charge of the exhibition archive of Moderna galerija but lost her because of the financial restrictions",from the 1920ies to the present,Format and conservation (texts / analogical photographs / plans / digital photographs / …),"We have developed our own soft-ware programs which demanded an improved structuralisation of our work. Since 1989 we have been creating the meta-database \'Exhibition\' (Razstava) and since 1993 \'Artist\' (Umetnik) - connected in the Raz_Ume database (\'razume\' in Slovenian means he/she understands).
We are always open for consultations.",Finding aid|Inventory|On line catalogue or database|Index|razume.mg-lj.si online database,yes,basic archival and bibliographical standards,150,Raz_Ume - our own database,"25.110 names of artists, 38.000 exhibitions, 160.000 bibliographical units....",only aproximately 5 percent of the stored data is sent online,,"Digitization of analogical records, and improvement of preservation policies (refreshing)|creation of the e-Archive ",
1337949361685.31,,Fri May 25 2012 14:36:01 GMT+0200,,Tromsø Center for Contemporary Art / Tromsø Kunstforening,Norway,Tromsø,Cultural Institution,Art,,,www.tromsokunstforening.no,MACBA,MACBA,,,YES,1980,,"Photographs of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Administration,"Marit Overrein

marit.overrein@tromsokunstforening.no",Institutional archive,"The archive is not very organized and is not available for researchers or public.

It contains some material dating from the foundation year 1924, but is in no way complete. Most material date from 1970 and forward.

Material pre 2000 is place at the Regional State Archives in Tromsø. But it is not sorted and organized.","0,1",,Format and conservation (texts / analogical photographs / plans / digital photographs / …),No,,,,,,,,,,"We would like to make the archive available for research, student\'s projects, etc. as our insitution has quite a long history and has been important for the art scene in our region."
1338065820258.94,,Sat May 26 2012 15:57:00 GMT-0500,,lugar a dudas,Colombia,Cali,Cultural Institution,Art,2005,2005,"http://www.lugaradudas.org/
http://www.lugaradudas.org/exhibiciones.htm
http://www.lugaradudas.org/publicaciones.htm",MACBA,MACBA,,,YES,2006,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Documents related to the educational activities programmed on occasion of each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,"Leandra Plaza saladeestar@lugaradudas.org
Ericka Flores lavitrina@lugaradudas.org
David Álvarez davagom@gmail.com
María Juliana Soto enjulianas@gmail.com
",Exhibition records,"El archivo contiene; 
Publicaciones impresas:
- Folleto de exhibición (incluye fotografías del montaje, texto sobre la obra e información sobre el artista) 
- Texto de sala
Archivos digitales:
- Fotografías y videos del montaje y la exhibición.

Su objetivo fundamental es crear una memoria de lo acontecido en el espacio que pueda ser difundida y consultada por el público en general. 

El archivo está en permanente construcción. Se gestiona por áreas de trabajo, con diferentes responsables. Y solo una parte de él puede ser consultado: a través de las publicaciones impresas que distribuimos gratuitamente, los contenidos en la página web (organizados cronológicamente) y el material audiovisual (de registro y documentación y que conforma la obra). ","Hay entre 4 y 5 personas involucradas en producir el material que será archivado. No podemos estimar con exactitud la cantidad de tiempo dedicada a esa labor específica, dado que como parte del trabajo de las áreas de diseño, coordinación de exhibiciones y centro de documentación se producen, sistematizan y difunden los contenidos correspondientes a cada proceso de exhibición, entre otras actividades del espacio.",2006/al presente,"Source or producer (dept, etc.)","Existe una Guía de usuario del Centro de documentación que orienta el uso del acervo. Las publicaciones que distribuimos permanecen exhibidas en el espacio y se pueden consultar cronológicamente en la web. Además tenemos un software para uso del público que denominamos Catalogador y almacena la base datos del archivo de impresos y audiovisuales.

",Inventory|On line catalogue or database,Sí. En el Catalogador está disponible el archivo audiovisual. Los folletos de exhibiciones se encuentran impresos y disponibles para el público en el lugar. Y en la web está el registro de las exhibiciones organizado cronológicamente.,Ninguna,10 metros,Catalogador en Java creado para tal fin,"350 discos de dvd con material multimedia, 6 carpetas anuales que reunen las publicaciones impresas",17% archivo audiovisual/multimedia  y 85% archivo de folletos de exhibición,85%,"Archival description of records reaching the smallest units|Digitization of analogical records, and improvement of preservation policies (refreshing)","Nuestro centro de documentación especializado en arte contemporáneo conserva y difunde muchos tipos de materiales que no corresponden necesariamente a un archivo de exhibición del espacio como tal. Entre ellos un nutrido Archivo vertical con publicaciones independientes, que esporádicamente también exhibimos. Un proyecto que consideramos importante dentro de este acervo es el Archivo documental de arte local que contiene materiales y publicaciones de artistas locales además de folletos, programas de mano y textos, entre otros."
1338301090987.95,,Tue May 29 2012 16:18:10 GMT+0200 (CET),,de Appel art centre,Netherlands,Amsterdam,Archive|Cultural Institution,Art,,,www.deappel.nl,MACBA,MACBA,,,YES,1974-present,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,library-archive@deappel.nl,Institutional archive,,"1 x 0,4 fte
4 x 0,2 volunteers",1974-presnet,"Source or producer (dept, etc.)","yes
yes",Inventory|On line catalogue or database,yes,dublin core,60,File maker Pro,14468,20,10,Dissemination online of contents of the exhibition archive,
1338364118109.71,,Wed May 30 2012 09:48:38 GMT+0200 (CEST),,Hordaland Art Centre,Norway,Bergen,Cultural Institution,Art,1976,,www.kunstsenter.no,MACBA,MACBA,www.kunstsenter.no,,YES,1985,"NOTE: Between 1976-85 Hordaland Art Centre was located a few places, and documentation form this period is patchy...","Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,Anne Szefer Karlsen anne@kunstsenter.no,Exhibition records,"The contents are mostly \""finals\"", meaning that all published material is preserved while processuals/drafts have not been preserved. The aim is to create and maintain an archive of exhibitions at the Hordaland Art Centre for those interested (artists/other professionals) and for researchers (students/art professionals).","We collectively take care of the archive, due to lack of resources. ",1985 to the present,chronology,,On line catalogue or database,"We have a modest visual archive avaliable online here: 
http://www.kunstsenter.no/en/utstillinger/",,5 filing cabinets...,,,,,Dissemination online of contents of the exhibition archive,"The institutional structure of \""the art centre\"" in Norway is a very particular form of organisation with a particular history of development. Our ambition for the future is  to initiat archival research to create and share knowledge. "
1338368696733.33,,Wed May 30 11:04:56 UTC+0200 2012,,Jewish Museum Vienna,Austria,Vienna,Archive,,,,,MACBA,MACBA,,,NO,,Our archivwe is very small. We haven\'t got enough space for preserving any exhibition documentations.,,,,,,,,,,,,,,,,,,,
1338361365517.75,,Wed May 30 2012 09:02:45 GMT+0200,,Kunsthalle Basel,Switzerland,Basel,,Art,1872,,www.kunsthallebasel.ch,MACBA,MACBA,,,YES,1858,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Library,"Sören Schmeling

sschmeling@kunsthallebasel.ch",Exhibition records,"It contains materials belonging:

-the exhibitiona (past and current) (correspondence/ texts / media clippings related to each exhibition / analog and digital photographs / plans / catalogues / administrativ and other material)

The aim is to preserve all the neccessary information of current and past exhibitions to make them accessible to the staff, researcher, students and interested people.

Parts of the exhibition documentation from 1850 - 1978 are archived external in the Staatsarchiv Basel (correspondence/ texts / administrativ materials)

Most of the material in-house is chronolgically ordered and stored in Folders.
The photoarchive is now in conversion to be ordered chronolgically, digitalized and publicly accessible, stored in light protected photoboxes. ","one person, 50 %",1858 to the present,Format and conservation (texts / analogical photographs / plans / digital photographs / …),,Finding aid|Inventory,"1858 - 1978 via Staatsarchiv Basel:

http://query.staatsarchiv.bs.ch/query/archivplansuche.aspx",No standard in-house,200,"MS Access, MS SQL",8000,0,,"Digitization of analogical records, and improvement of preservation policies (refreshing)|Inclusion in the exhibition archive of internal documents related to the process of production",
